Date,Open,High,Low,Close,Adj Close,Volume
2016-03-15,107.410004,107.419998,106.449997,107.220001,95.392494,404400
2016-03-16,106.470001,107.769997,106.099998,107.540001,95.677193,343000
2016-03-17,106.889999,108.480003,106.440002,107.930000,96.024170,354700
2016-03-18,106.279999,106.930000,105.800003,106.599998,94.840889,615500
2016-03-21,106.410004,107.430000,106.410004,107.139999,95.321320,442100
2016-03-22,108.110001,109.320000,107.760002,108.599998,96.620262,318600
2016-03-23,108.480003,108.989998,108.099998,108.099998,96.175430,291100
2016-03-24,106.389999,106.389999,105.750000,106.320000,94.591782,399800
2016-03-28,108.500000,109.089996,108.089996,108.690002,98.568504,450500
2016-03-29,108.000000,108.419998,107.339996,108.349998,100.116295,345900
2016-03-30,108.000000,108.099998,107.449997,107.599998,99.423294,323500
2016-03-31,106.410004,106.760002,106.120003,106.320000,98.240555,384500
2016-04-01,103.470001,104.029999,103.010002,103.540001,95.671822,531800
2016-04-04,101.660004,101.870003,100.910004,101.379997,93.675957,993600
2016-04-05,98.230003,99.559998,98.110001,98.739998,91.236565,1156400
2016-04-06,98.900002,99.620003,98.379997,99.510002,91.948051,492300
2016-04-07,99.209999,99.250000,97.800003,98.269997,90.802284,547600
2016-04-08,100.699997,101.099998,100.400002,100.660004,93.010666,517100
2016-04-11,98.529999,99.089996,98.300003,98.430000,90.950127,990300
2016-04-12,101.230003,101.970001,101.019997,101.580002,93.860748,513200
2016-04-13,103.760002,104.309998,103.489998,104.260002,96.337097,628900
2016-04-14,105.000000,105.389999,104.790001,104.959999,96.983910,406500
2016-04-15,104.510002,104.510002,103.489998,103.680000,95.801170,399300
2016-04-18,102.000000,103.540001,102.000000,103.360001,95.505501,301900
2016-04-19,105.099998,105.379997,104.449997,104.699997,96.743660,252000
2016-04-20,104.720001,105.330002,104.160004,104.849998,96.882256,261300
2016-04-21,105.540001,105.860001,105.250000,105.440002,97.427429,310500
2016-04-22,106.959999,107.570000,106.669998,107.449997,99.284691,473700
2016-04-25,107.519997,107.910004,106.699997,107.339996,99.183044,307000
2016-04-26,107.349998,107.430000,106.760002,107.320000,99.164558,252500
